JMÉNO_ZVÍŘETE;TYP_ZVÍŘETE;GENDER
past swift;Lizard;Z
decisive duck;Horse;M
nutritious leopard;Dog;M
glamorous krill;Horse;M
gigantic scallop;Dog;M
developed lizard;Lizard;M
grotesque mite;Dog;M
long mule;Parrot;M
distinct ladybug;Cat;M
liable loon;Cat;Z
invisible chicken;Bear;Z
green buzzard;Dog;Z
clean gorilla;Lizard;M
head sheep;Donkey;M
professional lobster;Fox;M
outdoor tick;Fox;M
intelligent marten;Cat;M
blonde hawk;Fox;M
horizontal newt;Bear;Z
drunk dragonfly;Parrot;Z
breakable fox;Fox;Z
spotless zebra;Donkey;M
stormy goldfish;Donkey;M
imaginative guppy;Cat;Z
rich puma;Lizard;Z
elaborate tiger;Horse;M
significant goat;Donkey;M
salty starfish;Fox;Z
fond ferret;Tiger;Z
dusty scallop;Horse;Z
passive orangutan;Dog;Z
steep dolphin;Dog;Z
narrow elephant;Donkey;Z
frail capybara;Dog;Z
domestic camel;Dog;M
early donkey;Fox;M
foolish dolphin;Lizard;Z
human lizard;Lizard;Z
institutional swordfish;Bear;Z
hilarious ant;Cat;M
tender smelt;Dog;M
varied bedbug;Donkey;Z
geographical dinosaur;Parrot;M
wet donkey;Bear;Z
effective wombat;Cat;M
current hornet;Parrot;Z
primary canid;Dog;Z
numerous bass;Bear;Z
silky dragon;Lizard;M
influential eel;Lion;M
unlikely ferret;Lizard;M
wild jackal;Donkey;Z
cautious barracuda;Fox;M
actual panther;Fox;M
okay gazelle;Parrot;Z
detailed elephant;Bear;Z
civilian whippet;Cat;M
retired llama;Horse;M
giant barnacle;Tiger;M
absolute clownfish;Lion;Z
broken weasel;Parrot;Z
massive bobolink;Tiger;M
territorial gorilla;Lizard;M
shallow mollusk;Bear;M
valuable dove;Dog;M
prime scorpion;Lizard;M
financial crab;Dog;Z
anonymous tern;Bear;Z
major swan;Cat;Z
fantastic starfish;Horse;Z
loose egret;Dog;Z
nervous moose;Tiger;M
select moose;Bear;M
disappointed skink;Lizard;M
helpful caribou;Cat;M
top wallaby;Lion;Z
foreign bobcat;Bear;M
bitter swan;Tiger;Z
objective falcon;Lion;M
firm cat;Lion;M
spectacular heron;Cat;Z
gross dinosaur;Lizard;M
artificial crayfish;Tiger;M
angry ermine;Dog;Z
thin monkey;Lion;M
awful hedgehog;Parrot;M
imperial constrictor;Bear;Z
wide whitefish;Parrot;Z
loud worm;Cat;Z
frail iguana;Parrot;M
swift cat;Donkey;M
numerous haddock;Tiger;M
comfortable peafowl;Tiger;Z
funny sturgeon;Cat;M
classical dragonfly;Parrot;M
steady galliform;Fox;Z
large chickadee;Bear;Z
toxic grouse;Horse;Z
wicked condor;Dog;M
direct lamprey;Dog;M
opposite salamander;Parrot;M
safe horse;Cat;M
solar condor;Tiger;M
beautiful seahorse;Donkey;Z
private tahr;Bear;M
afraid termite;Parrot;Z
empty coyote;Bear;Z
tremendous damselfly;Lizard;Z
diplomatic seahorse;Cat;Z
fat owl;Donkey;Z
obedient gopher;Bear;M
valid jay;Tiger;M
comfortable squid;Dog;M
ill pheasant;Fox;Z
radical cougar;Lion;Z
intense marmoset;Cat;Z
uneven emu;Bear;M
condemned amphibian;Horse;Z
spiritual marmoset;Lizard;Z
robust mollusk;Cat;M
commercial koi;Donkey;M
tragic pelican;Horse;M
accessible shrimp;Tiger;Z
inadequate pig;Lizard;Z
sad kangaroo;Cat;Z
level loon;Donkey;Z
jealous sole;Dog;M
frequent basilisk;Bear;Z
troubled tarantula;Donkey;Z
powerful donkey;Cat;M
noble jaguar;Parrot;M
disturbed beaver;Bear;M
sacred reindeer;Lizard;Z
filthy ermine;Horse;M
obliged crayfish;Fox;Z
marxist goose;Donkey;M
comprehensive trout;Lion;M
large earthworm;Tiger;M
zany meerkat;Fox;M
blushing dragon;Bear;Z
alleged whitefish;Dog;M
ugly cattle;Lion;Z
delighted albatross;Tiger;Z
funny cow;Donkey;Z
awkward cattle;Donkey;Z
optimistic jay;Cat;M
direct goldfish;Cat;Z
cautious hare;Lion;Z
residential buzzard;Dog;M
sad hookworm;Bear;M
protestant dolphin;Cat;M
short swordtail;Fox;M
disturbed centipede;Horse;M
tame chicken;Tiger;Z
single mongoose;Lizard;Z
comfortable ape;Fox;Z
long beaver;Tiger;M
welcome snipe;Parrot;M
underlying koala;Dog;M
chemical skunk;Fox;M
military harrier;Horse;M
striped rook;Tiger;Z
objective ant;Cat;Z
rising tarantula;Lion;Z
equivalent cat;Horse;M
national meadowlark;Lion;M
successful anaconda;Horse;M
narrow dingo;Lion;Z
feminist horse;Bear;M
efficient mongoose;Lion;M
inadequate haddock;Lizard;Z
shallow termite;Donkey;M
possible chimpanzee;Parrot;Z
separate antelope;Cat;M
vivacious guppy;Parrot;M
empty dinosaur;Parrot;M
overall galliform;Donkey;M
itchy ferret;Bear;M
human chipmunk;Fox;Z
little orangutan;Horse;M
crucial stingray;Bear;Z
healthy tuna;Bear;M
independent anteater;Dog;Z
ethical whippet;Cat;Z
presidential cobra;Dog;Z
ugly thrush;Fox;M
double ermine;Lizard;M
important krill;Lizard;M
sufficient panther;Bear;Z
increasing weasel;Parrot;M
stiff wolverine;Dog;M
indirect boa;Cat;M
rich ant;Bear;Z
kind puma;Lizard;Z
socialist goose;Horse;M
enthusiastic guppy;Dog;Z
marvellous felidae;Fox;Z
gigantic dinosaur;Horse;M
cooperative galliform;Tiger;Z
smoggy wolverine;Fox;M
monthly perch;Horse;Z
symbolic xerinae;Dog;M
illegal mollusk;Horse;M
shrill swordfish;Bear;Z
selected tern;Fox;Z
short gopher;Dog;M
important chicken;Lizard;Z
alleged worm;Dog;Z
middle bug;Dog;M
satisfactory capybara;Donkey;M
appalling mole;Fox;Z
profound python;Donkey;Z
drunk warbler;Dog;M
well hedgehog;Lizard;Z
historic bee;Lion;Z
quick aphid;Fox;Z
prime squid;Parrot;Z
statutory rat;Lizard;Z
horrible squirrel;Lion;M
panicky sloth;Tiger;M
distinct peafowl;Tiger;Z
confidential jellyfish;Lion;M
single ferret;Lion;Z
persistent cockroach;Fox;M
wooden elephant;Lion;Z
slight chicken;Parrot;Z
grateful rabbit;Tiger;Z
quick cheetah;Cat;M
obvious lark;Lizard;M
harsh hippopotamus;Donkey;M
cold macaw;Bear;M
structural damselfly;Dog;M
curly meerkat;Tiger;M
alone lizard;Fox;Z
temporary mink;Cat;M
industrial hummingbird;Dog;Z
forthcoming horse;Lion;M
notable orca;Dog;Z
intimate constrictor;Dog;M
compact primate;Bear;M
hungry iguana;Cat;M
miserable platypus;Lizard;Z
persistent canid;Dog;Z
clever silkworm;Lion;Z
slight tapir;Lizard;M
alleged toucan;Parrot;Z
casual mastodon;Donkey;M
psychiatric chimpanzee;Dog;M
upper crab;Dog;M
managing pheasant;Fox;Z
wonderful marmoset;Lion;M
explicit mule;Horse;Z
actual roadrunner;Fox;Z
exceptional crab;Parrot;M
causal coral;Lizard;M
obedient guppy;Dog;Z
boring crayfish;Horse;Z
big eagle;Tiger;M
peculiar wombat;Dog;M
narrow zebra;Tiger;M
kind cheetah;Lion;M
alright bedbug;Horse;M
foolish tiglon;Parrot;Z
significant puffin;Dog;M
big flyingfish;Fox;M
giant felidae;Dog;Z
chubby perch;Cat;M
gentle rook;Fox;Z
clever fish;Lion;Z
enchanting woodpecker;Lizard;M
dynamic viper;Cat;M
irrelevant jay;Lizard;Z
rigid guanaco;Lizard;M
outstanding mole;Dog;Z
consistent lizard;Dog;M
ministerial dragon;Lion;Z
cruel louse;Bear;Z
miserable coral;Donkey;M
fascinating earwig;Parrot;M
watery weasel;Bear;M
glad parrotfish;Lion;Z
huge seahorse;Tiger;M
wrong grasshopper;Tiger;Z
disappointed condor;Fox;M
golden prawn;Lion;M
friendly worm;Lion;M
overwhelming quelea;Fox;M
reluctant crayfish;Bear;Z
ugliest narwhal;Cat;Z
free donkey;Tiger;Z
appropriate tick;Lizard;Z
wide fowl;Bear;Z
actual parakeet;Cat;Z
stuck gopher;Tiger;M
sharp koala;Bear;M
stormy possum;Dog;M
industrial swallow;Fox;Z
preliminary tern;Donkey;Z
good tarantula;Bear;Z
artificial raccoon;Tiger;M
blind partridge;Cat;M
unwilling kangaroo;Lizard;Z
fluffy hamster;Dog;M
intact skunk;Dog;Z
central panda;Horse;M
swiss zebra;Fox;M
female bedbug;Lizard;Z
bad kingfisher;Dog;M
naughty spider;Parrot;M
thundering mule;Fox;Z
worthy pinniped;Lizard;Z
fantastic ferret;Dog;Z
influential koi;Horse;M
horrible iguana;Bear;M
white parakeet;Lion;Z
comparable iguana;Horse;Z
cool krill;Bear;M
philosophical crawdad;Donkey;Z
quick cricket;Fox;M
ripe salmon;Cat;M
defensive cat;Tiger;Z
influential canidae;Lion;M
crazy mouse;Horse;M
hard dog;Parrot;M
helpless cicada;Horse;M
passing marten;Fox;M
varying mollusk;Donkey;Z
technological mammal;Parrot;Z
pale bear;Bear;M
cruel tarsier;Fox;M
tart chipmunk;Bear;M
allied tiger;Donkey;Z
junior clownfish;Donkey;M
logical hoverfly;Dog;M
lost amphibian;Horse;Z
surviving cat;Lion;Z
bad pigeon;Lizard;M
occupational whippet;Donkey;M
afraid sawfish;Lion;M
diverse albatross;Lion;M
delicious muskox;Donkey;M
skilled scallop;Parrot;M
tropical lizard;Cat;M
gleaming peafowl;Horse;Z
sore pony;Dog;M
proud constrictor;Fox;M
remaining iguana;Dog;Z
polite bird;Cat;Z
meaningful xerinae;Bear;Z
dirty barnacle;Horse;M
mathematical salamander;Dog;M
civilian pony;Horse;M
preliminary fox;Lion;M
sick condor;Donkey;M
inevitable kiwi;Lion;M
unchanged cattle;Tiger;Z
red turtle;Dog;Z
firm cat;Lizard;Z
typical scorpion;Parrot;M
suspicious piranha;Fox;M
solar rabbit;Donkey;Z
innocent minnow;Donkey;M
initial sparrow;Horse;Z
yellow quokka;Parrot;Z
graceful camel;Dog;M
inadequate bison;Lizard;M
fluffy impala;Bear;Z
unfortunate chipmunk;Horse;M
structural possum;Donkey;M
electrical lemur;Fox;M
ideal anglerfish;Bear;Z
symbolic lungfish;Lizard;Z
boring perch;Parrot;M
final pelican;Tiger;Z
blushing otter;Cat;M
giant salamander;Lion;M
above mosquito;Fox;M
criminal hyena;Fox;M
flying sheep;Lizard;M
actual lynx;Donkey;Z
injured bedbug;Parrot;Z
interested dog;Bear;M
spontaneous koi;Lion;Z
cooperative cheetah;Lizard;M
red cat;Fox;Z
quiet thrush;Dog;Z
smooth elephant;Lion;Z
bizarre catfish;Bear;Z
odd boa;Horse;Z
multiple alpaca;Donkey;Z
tiny egret;Cat;Z
doubtful catshark;Lion;M
itchy muskox;Lion;M
spotless catfish;Horse;M
rear crocodile;Tiger;Z
passive jackal;Horse;Z
difficult cat;Donkey;Z
prepared locust;Bear;Z
delightful halibut;Donkey;Z
uncomfortable bedbug;Bear;M
hard crocodile;Horse;Z
remote donkey;Lion;Z
grotesque rattlesnake;Lizard;Z
interested cricket;Cat;M
mighty ladybug;Bear;Z
evolutionary horse;Tiger;Z
long ladybug;Horse;M
low crawdad;Cat;M
eager yak;Dog;M
bright octopus;Parrot;M
identical quelea;Fox;Z
planned possum;Fox;Z
quick fly;Fox;M
instant wolf;Tiger;Z
late capybara;Horse;M
unwilling aphid;Bear;M
dull jackal;Parrot;Z
tight cockroach;Fox;Z
academic roadrunner;Tiger;Z
square fox;Lion;M
cruel ladybug;Lizard;Z
zealous parrotfish;Donkey;M
different mockingbird;Fox;Z
strange dove;Dog;Z
swift koi;Donkey;M
short kite;Tiger;M
fellow flamingo;Lizard;Z
rotten duck;Parrot;Z
coherent thrush;Lion;Z
musical mite;Lizard;Z
unchanged stork;Horse;Z
wet lamprey;Tiger;Z
victorian tern;Tiger;M
smooth crayfish;Fox;Z
expected goldfish;Donkey;Z
imaginative mastodon;Dog;M
suitable louse;Dog;Z
fast sawfish;Cat;Z
intimate leech;Lizard;Z
fit condor;Fox;Z
sad wildebeest;Dog;M
potential armadillo;Lizard;M
hushed jellyfish;Cat;Z
pleasant hookworm;Parrot;M
obnoxious lion;Fox;Z
smoggy stingray;Fox;M
damaged cuckoo;Horse;M
curved emu;Tiger;Z
shrill macaw;Horse;Z
tame badger;Donkey;Z
big antelope;Lion;M
arrogant chickadee;Cat;Z
Sound panther;Bear;M
long egret;Bear;M
cold newt;Bear;M
convenient bat;Cat;M
physical caribou;Bear;Z
dual gayal;Tiger;Z
bad tarantula;Horse;M
smooth bonobo;Dog;Z
mid dormouse;Lizard;Z
slow spider;Lizard;Z
odd pony;Fox;Z
fashionable tyrannosaurus;Lizard;M
heavy cougar;Horse;Z
various llama;Bear;M
vast angelfish;Fox;Z
satisfied chicken;Dog;Z
tough termite;Donkey;Z
correct sloth;Cat;M
indirect mandrill;Fox;Z
easy pinniped;Donkey;M
noisy roadrunner;Lion;Z
faithful wombat;Donkey;M
creative tarsier;Donkey;Z
thorough termite;Lion;Z
multiple guineafowl;Parrot;Z
mass lungfish;Parrot;Z
dull sloth;Cat;Z
afraid coyote;Lizard;Z
acceptable carp;Donkey;Z
fair halibut;Cat;M
rising wolverine;Horse;Z
bright reindeer;Donkey;M
screeching cattle;Parrot;M
roman owl;Dog;Z
devoted grouse;Dog;M
thoughtless pheasant;Donkey;M
wicked grasshopper;Horse;M
hostile swift;Cat;Z
medieval marmoset;Fox;Z
Sound urial;Lion;Z
superb salamander;Dog;Z
linguistic crab;Cat;Z
direct flyingfish;Dog;M
top swan;Lion;M
mechanical viper;Parrot;Z
slim alpaca;Cat;Z
unexpected beetle;Bear;Z
long rodent;Tiger;Z
upset termite;Fox;M
angry cephalopod;Cat;Z
controlled wildcat;Horse;M
deep sheep;Bear;M
recent dog;Tiger;Z
operational cricket;Dog;M
purple crane;Lion;Z
dear skunk;Bear;Z
vulnerable raven;Fox;Z
uninterested gecko;Lizard;M
solid condor;Fox;M
daily alpaca;Parrot;M
watery stoat;Fox;Z
digital termite;Lizard;Z
unlikely haddock;Parrot;Z
basic wildfowl;Bear;Z
dirty lion;Lizard;Z
provincial barracuda;Lizard;M
basic halibut;Lizard;Z
ideological locust;Fox;M
hon hamster;Tiger;M
usual leopard;Horse;M
intermediate baboon;Cat;Z
prime orangutan;Tiger;M
careful goose;Cat;M
massive fox;Bear;Z
future turtle;Parrot;M
unhappy impala;Fox;M
northern mouse;Lion;M
verbal harrier;Cat;Z
balanced felidae;Dog;M
straightforward shark;Cat;M
mobile guppy;Bear;Z
splendid hawk;Lizard;M
allied scorpion;Donkey;M
live lobster;Bear;M
isolated jellyfish;Parrot;Z
premier chicken;Bear;Z
temporary wolverine;Dog;M
hard gazelle;Horse;Z
big cattle;Donkey;M
tense spoonbill;Donkey;Z
external mackerel;Fox;M
considerable antlion;Lion;M
everyday turtle;Fox;Z
outside guineafowl;Tiger;M
beautiful wolverine;Lizard;M
secret cephalopod;Lion;M
double raven;Dog;M
chronic meadowlark;Parrot;M
hard wolf;Dog;Z
determined dog;Lizard;Z
familiar pony;Horse;Z
minimum earthworm;Horse;M
entitled puma;Parrot;M
toxic grouse;Lizard;Z
democratic clownfish;Donkey;M
mature felidae;Bear;M
stingy goat;Horse;Z
fatal rat;Lizard;Z
excess gamefowl;Lion;M
purple hyena;Bear;M
fragile harrier;Horse;Z
remarkable cockroach;Bear;Z
free leopon;Dog;Z
awful bobcat;Lion;Z
grubby wolverine;Lizard;Z
wild koi;Bear;Z
insufficient gull;Fox;M
super penguin;Lizard;Z
usual vole;Dog;M
homeless carp;Dog;Z
everyday asp;Cat;M
negative magpie;Cat;M
biological smelt;Lion;Z
hurt rooster;Parrot;Z
defensive wallaby;Dog;M
presidential albatross;Tiger;M
symbolic magpie;Bear;Z
frail leopon;Parrot;M
wonderful ferret;Parrot;Z
equivalent parrotfish;Tiger;M
afraid echidna;Lizard;M
quick tiger;Donkey;Z
inevitable thrush;Parrot;Z
atomic boar;Tiger;Z
suitable snipe;Lion;M
critical anteater;Cat;M
tame barnacle;Tiger;M
electrical guanaco;Horse;Z
mass mockingbird;Bear;Z
ordinary aardwolf;Bear;M
brown worm;Parrot;M
relative chameleon;Lion;Z
screeching rat;Tiger;M
patient angelfish;Dog;Z
solar piranha;Bear;M
depressed angelfish;Fox;M
sporting whitefish;Horse;Z
fat dormouse;Dog;Z
rapid tiger;Bear;M
productive mandrill;Tiger;M
empirical caterpillar;Tiger;M
likely halibut;Fox;Z
good tapir;Parrot;M
furious pigeon;Horse;Z
concerned jellyfish;Cat;Z
short perch;Lion;Z
plain platypus;Fox;M
orange chimpanzee;Horse;Z
interesting albatross;Lizard;Z
sheer ape;Cat;M
firm fox;Lizard;M
standard unicorn;Cat;M
odd trout;Dog;Z
grubby lark;Lizard;M
stupid reptile;Cat;Z
just mosquito;Bear;M
arrogant cephalopod;Bear;M
broken mockingbird;Parrot;Z
hot squirrel;Tiger;M
alive crawdad;Fox;Z
nursing guan;Donkey;Z
hungry viper;Donkey;M
previous shrimp;Parrot;Z
comfortable xerinae;Tiger;M
kind swallow;Lion;M
successive llama;Lion;Z
recent panther;Donkey;M
quaint antlion;Donkey;Z
numerous bear;Lizard;M
lesser pheasant;Cat;M
enchanting tortoise;Parrot;Z
uneven cobra;Fox;M
depressed pike;Lizard;Z
architectural iguana;Lion;M
compact grasshopper;Parrot;M
aggressive leopon;Fox;Z
silly prawn;Parrot;M
reluctant marmot;Lion;Z
excited frog;Parrot;Z
golden silverfish;Lion;Z
specified aardvark;Lizard;Z
curly marmot;Dog;M
outside mongoose;Lizard;M
toxic crawdad;Cat;M
free ferret;Cat;Z
disciplinary junglefowl;Dog;M
alright ladybug;Parrot;M
big marmoset;Parrot;M
running guppy;Fox;M
poised alpaca;Parrot;Z
extended carp;Donkey;Z
fine cod;Dog;M
content spider;Dog;Z
broken muskox;Parrot;Z
rough porpoise;Tiger;Z
annual alpaca;Parrot;Z
honest vole;Donkey;M
remote hyena;Lion;Z
insufficient cattle;Parrot;M
curly dolphin;Dog;M
armed spider;Bear;Z
vertical crawdad;Lion;Z
beautiful squid;Lizard;Z
occupational louse;Donkey;Z
extensive eagle;Fox;Z
numerous lizard;Fox;M
open caribou;Lion;M
modern eel;Bear;M
coloured boar;Fox;Z
autonomous trout;Tiger;Z
calm xerinae;Lizard;M
traditional goldfish;Tiger;Z
nasty crayfish;Lizard;Z
mass moth;Bear;Z
autonomous moose;Tiger;M
ethnic cod;Cat;M
classic bison;Lion;Z
naughty spoonbill;Cat;Z
historical gamefowl;Dog;Z
formidable quokka;Fox;Z
absolute lark;Fox;M
sacred gayal;Fox;Z
repulsive tiger;Dog;M
cuddly herring;Fox;Z
quick minnow;Cat;Z
obedient skink;Tiger;Z
sweet tern;Donkey;M
furious bass;Donkey;Z
favourable carp;Cat;Z
urgent harrier;Parrot;Z
light mammal;Tiger;Z
primitive woodpecker;Fox;M
delightful salamander;Fox;Z
sweet coral;Fox;M
lively mink;Bear;Z
pink flyingfish;Cat;M
experienced quail;Cat;Z
blue urial;Bear;M
working quail;Fox;Z
prime amphibian;Lion;M
fair junglefowl;Parrot;Z
voluntary wolf;Fox;M
payable llama;Tiger;M
inquisitive catshark;Horse;M
dusty raven;Lion;Z
wet iguana;Cat;M
loud turtle;Lizard;Z
mid carp;Dog;M
rough harrier;Lion;M
moderate horse;Lizard;Z
architectural anteater;Lizard;M
respectable badger;Cat;M
spare turkey;Horse;M
miserable loon;Lion;Z
everyday sturgeon;Fox;M
pale guineafowl;Cat;Z
developing ant;Cat;M
prepared goat;Tiger;M
ugly horse;Horse;Z
empirical cattle;Horse;Z
confused marlin;Lion;Z
short mammal;Fox;M
deep gopher;Tiger;M
small trout;Tiger;M
medical monkey;Parrot;Z
visual stoat;Donkey;M
salty lynx;Dog;Z
rainy snake;Donkey;M
thoughtful leopard;Donkey;Z
purple thrush;Bear;M
loud impala;Lion;M
real lamprey;Donkey;M
similar grasshopper;Horse;M
extreme galliform;Bear;M
excellent pinniped;Tiger;M
managing mule;Lion;M
sensitive tern;Fox;M
old xerinae;Tiger;Z
rough swallow;Lizard;M
serious baboon;Cat;M
easy thrush;Tiger;Z
shivering egret;Lion;M
difficult alligator;Lizard;Z
cheap deer;Fox;Z
blue wildebeest;Cat;M
promising yak;Donkey;M
integrated buzzard;Bear;Z
calm planarian;Donkey;Z
elated shrew;Fox;M
determined meerkat;Lizard;Z
standard chinchilla;Tiger;Z
labour xerinae;Dog;M
general basilisk;Lizard;M
substantial finch;Dog;M
rubber perch;Donkey;M
retail landfowl;Donkey;Z
scornful goat;Cat;Z
popular hare;Tiger;M
visiting ocelot;Fox;M
alone roundworm;Parrot;Z
round stork;Lizard;Z
sharp mite;Bear;Z
friendly llama;Fox;M
external primate;Cat;M
heavy shark;Bear;Z
frozen bonobo;Bear;Z
diplomatic snipe;Fox;Z
dead anteater;Parrot;Z
motionless earthworm;Dog;Z
healthy chipmunk;Bear;Z
poor shrimp;Lizard;M
loud ostrich;Cat;Z
semantic jay;Lion;Z
essential hippopotamus;Lion;Z
weird muskox;Cat;M
precious junglefowl;Parrot;M
steady carp;Tiger;M
marine python;Fox;M
nice tern;Lion;M
holy earthworm;Horse;M
embarrassing fly;Tiger;Z
lonely cockroach;Donkey;Z
cheerful snipe;Fox;M
content earwig;Cat;M
autonomous elephant;Lizard;Z
faithful orangutan;Lizard;Z
burning horse;Cat;M
external kangaroo;Lion;Z
tall sheep;Parrot;Z
crooked tick;Tiger;Z
mushy guppy;Dog;Z
major harrier;Donkey;M
quick hummingbird;Donkey;M
negative stork;Dog;M
round mite;Bear;M
gothic ant;Lion;M
fellow opossum;Dog;M
elegant mole;Cat;Z
happy leopon;Lion;M
modern ape;Parrot;M
tasteless tern;Fox;Z
respectable chameleon;Cat;Z
dull carp;Tiger;Z
selective capybara;Lion;Z
poised harrier;Cat;M
expensive mink;Dog;M
short silverfish;Fox;Z
theoretical mollusk;Fox;M
certain amphibian;Bear;Z
persistent rabbit;Horse;M
innocent gorilla;Dog;Z
lucky cephalopod;Horse;M
young peafowl;Parrot;M
flat cougar;Fox;M
profitable stoat;Tiger;M
dull planarian;Tiger;M
artistic bird;Parrot;M
old swordtail;Lizard;M
rude quokka;Parrot;Z
obliged snail;Parrot;M
breakable snipe;Parrot;M
fantastic leopard;Cat;M
angry bonobo;Donkey;M
overwhelming butterfly;Parrot;Z
philosophical dragon;Bear;M
frequent asp;Lion;Z
dead crocodile;Cat;Z
constitutional cat;Horse;Z
horrible mule;Tiger;M
eager ptarmigan;Fox;Z
ministerial impala;Dog;Z
fantastic gamefowl;Dog;Z
full elk;Horse;Z
large fox;Dog;M
confused raccoon;Horse;M
monthly albatross;Lizard;M
reliable tick;Lion;M
noisy perch;Cat;Z
competent sheep;Lizard;M
long fox;Fox;Z
wee impala;Tiger;M
calm alpaca;Parrot;Z
crooked snail;Donkey;M
hissing duck;Horse;M
married cattle;Donkey;M
tasteless koi;Dog;Z
secure mockingbird;Tiger;Z
financial earwig;Fox;Z
loud lamprey;Lizard;Z
mixed lynx;Tiger;M
bizarre whale;Bear;M
swiss fox;Bear;Z
wee woodpecker;Dog;M
victorian frog;Donkey;M
breezy aardwolf;Parrot;Z
strong tarsier;Dog;M
large eel;Dog;Z
relieved flea;Donkey;Z
separate sheep;Tiger;Z
involved deer;Horse;M
nervous dinosaur;Donkey;Z
added flyingfish;Lion;M
exclusive lamprey;Parrot;M
lexical scallop;Lizard;Z
many narwhal;Tiger;Z
comfortable kiwi;Parrot;Z
marked mandrill;Cat;M
bitter antelope;Lizard;M
awake tortoise;Fox;M
wild mole;Horse;Z
big goldfish;Fox;Z
competent fly;Dog;Z
splendid meerkat;Cat;Z
institutional tiger;Cat;M
fun fowl;Fox;Z
distinct whale;Fox;Z
costly leopon;Tiger;Z
bored hamster;Fox;Z
defiant wildebeest;Bear;Z
responsible earthworm;Cat;Z
patient fish;Fox;M
lively python;Bear;M
underground louse;Dog;Z
friendly cattle;Tiger;Z
surviving hummingbird;Bear;Z
mad tiglon;Fox;M
willing yak;Fox;Z
academic lobster;Lion;M
overall alpaca;Parrot;M
ordinary rooster;Fox;Z
bright frog;Lion;M
magenta quail;Donkey;M
ratty weasel;Horse;M
orange limpet;Parrot;Z
wonderful rooster;Parrot;M
recent bandicoot;Lizard;Z
vague angelfish;Parrot;Z
doubtful raven;Tiger;Z
proud barracuda;Donkey;M
frequent dragonfly;Tiger;M
great bug;Donkey;M
outstanding alpaca;Parrot;M
regular echidna;Bear;M
progressive bug;Parrot;M
sacred magpie;Fox;Z
implicit finch;Bear;Z
rolling heron;Donkey;M
extreme heron;Lizard;Z
ultimate booby;Bear;Z
able swordtail;Donkey;Z
outer alligator;Cat;M
safe boar;Fox;M
regional pony;Dog;Z
immediate macaw;Fox;Z
defeated anglerfish;Cat;M
dead catshark;Donkey;M
beautiful rattlesnake;Dog;Z
intelligent lemming;Lizard;M
accepted mandrill;Donkey;Z
bright parakeet;Parrot;Z
friendly camel;Dog;M
limited bedbug;Parrot;M
ashamed tuna;Fox;M
wide wildcat;Lizard;M
jealous partridge;Fox;M
tiny pony;Horse;Z
artificial leopard;Cat;M
ill slug;Donkey;M
squealing asp;Dog;Z
bad harrier;Donkey;Z
tiny lark;Cat;M
nice wombat;Donkey;M
labour python;Lizard;M
gentle tern;Bear;Z
lesser iguana;Horse;M
fat lynx;Lizard;M
white urial;Horse;Z
dynamic angelfish;Parrot;Z
collective guppy;Parrot;Z
brave pheasant;Lizard;Z
whispering caterpillar;Lizard;Z
various mastodon;Lizard;M
rough finch;Cat;M
massive goose;Donkey;M
valid hamster;Bear;M
repulsive peacock;Cat;Z
static penguin;Bear;Z
medieval alpaca;Dog;Z
ancient stoat;Tiger;M
screeching piranha;Cat;M
enchanting hoverfly;Tiger;Z
excessive guineafowl;Lion;M
bitter manatee;Lion;M
helpless cattle;Bear;M
technical canidae;Horse;M
provincial swordtail;Fox;M
deep shrew;Tiger;Z
thin chameleon;Horse;Z
territorial cuckoo;Lizard;M
unpleasant chameleon;Bear;M
retail aardvark;Tiger;Z
noble cattle;Lion;M
shy lion;Bear;M
frantic gamefowl;Fox;Z
clean squirrel;Bear;Z
ridiculous turkey;Donkey;Z
thoughtful herring;Donkey;M
worthy iguana;Fox;Z
like rooster;Lion;Z
blind turkey;Parrot;M
classic swordtail;Donkey;M
joint hornet;Donkey;Z
eerie moth;Lion;M
black turkey;Donkey;Z
flying lemming;Parrot;M
thundering shrew;Cat;M
green squid;Donkey;Z
intense dragonfly;Dog;Z
rough crayfish;Horse;Z
legal dog;Donkey;M
spicy firefly;Cat;Z
dull swordtail;Lion;M
well tiglon;Cat;M
massive chameleon;Cat;M
orange slug;Dog;Z
fantastic scorpion;Tiger;Z
soft elephant;Dog;Z
weird antlion;Dog;M
fine partridge;Cat;Z
partial parakeet;Dog;M
reduced stoat;Tiger;M
unusual spider;Lizard;Z
interim falcon;Dog;Z
precious cat;Horse;Z
eldest weasel;Fox;M
embarrassing cattle;Horse;Z
round constrictor;Tiger;M
dusty cardinal;Bear;Z
divine guppy;Bear;M
slim jay;Bear;Z
broken canidae;Donkey;Z
calm pig;Cat;Z
guilty perch;Tiger;Z
broad viper;Parrot;Z
favourable gopher;Cat;Z
wrong beetle;Fox;M
lovely koi;Lion;Z
grieving tyrannosaurus;Horse;M
supporting fowl;Dog;Z
flat takin;Dog;Z
unconscious viper;Lion;Z
courageous crane;Donkey;Z
estimated viper;Dog;M
weary blackbird;Dog;M
dead eagle;Cat;Z
funny beaver;Horse;Z
chemical mosquito;Lion;M
entitled rat;Parrot;M
mighty aardwolf;Lion;M
awful yak;Bear;M
excess marmot;Tiger;M
alleged centipede;Lizard;M
smiling perch;Fox;M
rational anglerfish;Lion;Z
relieved antlion;Horse;Z
dangerous aardwolf;Donkey;M
